label,parallelism,lanes,repeat,engine,workload,phase,operations,elapsed_us,ops_per_sec,p50_ns,p99_ns,peak_workers,handoffs
goexec,1,4,1,Goexec,Yield,steady,100000,7983,12526160.89,0,42,2,0
baseline,1,4,1,Goexec,Yield,steady,100000,8189,12210508.68,0,42,2,0
go,1,4,1,Go,Yield,steady,100000,9631,10383137.78,0,42,,
baseline,1,4,1,Goexec,Empty,steady,100000,8730,11453933.71,41,42,2,0
go,1,4,1,Go,Empty,steady,100000,9780,10224426.15,0,42,,
goexec,1,4,1,Goexec,Empty,steady,100000,8478,11795119.25,41,42,2,0
goexec,1,4,1,Goexec,CachedRead,steady,10000,104490,95702.94,9792,16458,2,0
go,1,4,1,Go,CachedRead,steady,10000,114276,87506.80,10709,18833,,
baseline,1,4,1,Goexec,CachedRead,steady,10000,101783,98247.79,9625,15042,2,0
goexec,1,4,1,Goexec,Cpu,steady,10000,115748,86393.87,11042,14209,2,0
baseline,1,4,1,Goexec,Cpu,steady,10000,115944,86248.01,10958,16459,2,0
go,1,4,1,Go,Cpu,steady,10000,110579,90433.02,10584,17459,,
goexec,1,4,1,Goexec,SyscallWait,steady,412,121889,3380.12,778750,805459,3,412
baseline,1,4,1,Goexec,SyscallWait,steady,412,120892,3407.99,779708,829334,3,412
go,1,4,1,Go,SyscallWait,steady,412,68369,6026.05,653583,760791,,
go,1,4,1,Go,Mixed,steady,820,37358,21949.32,16916,669709,,
goexec,1,4,1,Goexec,Mixed,steady,820,56567,14496.01,13959,799042,4,206
baseline,1,4,1,Goexec,Mixed,steady,820,61777,13273.55,13958,794750,3,208
go,4,16,1,Go,Yield,steady,100000,18130,5515529.66,0,42,,
goexec,4,16,1,Goexec,Yield,steady,100000,2557,39094951.86,0,42,5,0
baseline,4,16,1,Goexec,Yield,steady,100000,2647,37769699.26,0,42,5,0
baseline,4,16,1,Goexec,Empty,steady,100000,3618,27634172.20,41,84,5,0
goexec,4,16,1,Goexec,Empty,steady,100000,3436,29095496.66,41,84,5,0
go,4,16,1,Go,Empty,steady,100000,16300,6134938.09,0,42,,
baseline,4,16,1,Goexec,CachedRead,steady,10000,71271,140308.29,22792,64417,5,0
go,4,16,1,Go,CachedRead,steady,10000,54216,184444.84,18250,162000,,
goexec,4,16,1,Goexec,CachedRead,steady,10000,57159,174950.32,17791,60916,5,0
go,4,16,1,Go,Cpu,steady,10000,28740,347945.60,11042,14167,,
goexec,4,16,1,Goexec,Cpu,steady,10000,29402,340105.20,11125,14042,5,0
baseline,4,16,1,Goexec,Cpu,steady,10000,28479,351133.88,11042,14000,5,0
baseline,4,16,1,Goexec,SyscallWait,steady,416,43279,9611.99,662458,787708,8,287
goexec,4,16,1,Goexec,SyscallWait,steady,416,42895,9698.10,656708,786500,9,279
go,4,16,1,Go,SyscallWait,steady,416,70395,5909.50,665000,719167,,
go,4,16,1,Go,Mixed,steady,832,37729,22051.88,19583,673959,,
goexec,4,16,1,Goexec,Mixed,steady,832,21893,38002.73,13792,750292,9,151
baseline,4,16,1,Goexec,Mixed,steady,832,22706,36641.56,13917,740834,8,145
goexec,16,64,1,Goexec,Yield,steady,100032,2942,33991723.62,0,42,17,0
go,16,64,1,Go,Yield,steady,100032,34112,2932432.77,41,125,,
baseline,16,64,1,Goexec,Yield,steady,100032,2549,39243624.95,0,42,17,0
baseline,16,64,1,Goexec,Empty,steady,100032,2037,49107511.05,41,125,17,0
goexec,16,64,1,Goexec,Empty,steady,100032,1740,57482783.67,41,125,17,0
go,16,64,1,Go,Empty,steady,100032,33914,2949567.47,41,125,,
goexec,16,64,1,Goexec,CachedRead,steady,10048,98714,101788.28,136417,455000,19,184
baseline,16,64,1,Goexec,CachedRead,steady,10048,97905,102629.14,136083,446625,18,160
go,16,64,1,Go,CachedRead,steady,10048,104502,96150.85,155250,4670250,,
baseline,16,64,1,Goexec,Cpu,steady,10048,8957,1121798.92,11167,16375,17,0
goexec,16,64,1,Goexec,Cpu,steady,10048,8894,1129723.97,11167,23250,17,0
go,16,64,1,Go,Cpu,steady,10048,9294,1081040.37,11209,29625,,
goexec,16,64,1,Goexec,SyscallWait,steady,448,17280,25924.99,656959,787458,20,108
go,16,64,1,Go,SyscallWait,steady,448,22120,20253.01,736708,912291,,
baseline,16,64,1,Goexec,SyscallWait,steady,448,16568,27038.99,656750,934459,21,112
goexec,16,64,1,Goexec,Mixed,steady,832,10619,78344.90,16708,710333,21,61
baseline,16,64,1,Goexec,Mixed,steady,832,9884,84175.38,16167,725833,20,62
go,16,64,1,Go,Mixed,steady,832,12951,64240.08,23000,762709,,
