parallelism,workload,label,median_ops_per_sec,min_ops_per_sec,max_ops_per_sec
1,Yield,goexec,12526160.89,12526160.89,12526160.89
1,Yield,go,10383137.78,10383137.78,10383137.78
1,Yield,baseline,12210508.68,12210508.68,12210508.68
1,Empty,goexec,11795119.25,11795119.25,11795119.25
1,Empty,go,10224426.15,10224426.15,10224426.15
1,Empty,baseline,11453933.71,11453933.71,11453933.71
1,CachedRead,goexec,95702.94,95702.94,95702.94
1,CachedRead,go,87506.8,87506.8,87506.8
1,CachedRead,baseline,98247.79,98247.79,98247.79
1,Cpu,goexec,86393.87,86393.87,86393.87
1,Cpu,go,90433.02,90433.02,90433.02
1,Cpu,baseline,86248.01,86248.01,86248.01
1,SyscallWait,goexec,3380.12,3380.12,3380.12
1,SyscallWait,go,6026.05,6026.05,6026.05
1,SyscallWait,baseline,3407.99,3407.99,3407.99
1,Mixed,goexec,14496.01,14496.01,14496.01
1,Mixed,go,21949.32,21949.32,21949.32
1,Mixed,baseline,13273.55,13273.55,13273.55
4,Yield,goexec,39094951.86,39094951.86,39094951.86
4,Yield,go,5515529.66,5515529.66,5515529.66
4,Yield,baseline,37769699.26,37769699.26,37769699.26
4,Empty,goexec,29095496.66,29095496.66,29095496.66
4,Empty,go,6134938.09,6134938.09,6134938.09
4,Empty,baseline,27634172.2,27634172.2,27634172.2
4,CachedRead,goexec,174950.32,174950.32,174950.32
4,CachedRead,go,184444.84,184444.84,184444.84
4,CachedRead,baseline,140308.29,140308.29,140308.29
4,Cpu,goexec,340105.2,340105.2,340105.2
4,Cpu,go,347945.6,347945.6,347945.6
4,Cpu,baseline,351133.88,351133.88,351133.88
4,SyscallWait,goexec,9698.1,9698.1,9698.1
4,SyscallWait,go,5909.5,5909.5,5909.5
4,SyscallWait,baseline,9611.99,9611.99,9611.99
4,Mixed,goexec,38002.73,38002.73,38002.73
4,Mixed,go,22051.88,22051.88,22051.88
4,Mixed,baseline,36641.56,36641.56,36641.56
16,Yield,goexec,33991723.62,33991723.62,33991723.62
16,Yield,go,2932432.77,2932432.77,2932432.77
16,Yield,baseline,39243624.95,39243624.95,39243624.95
16,Empty,goexec,57482783.67,57482783.67,57482783.67
16,Empty,go,2949567.47,2949567.47,2949567.47
16,Empty,baseline,49107511.05,49107511.05,49107511.05
16,CachedRead,goexec,101788.28,101788.28,101788.28
16,CachedRead,go,96150.85,96150.85,96150.85
16,CachedRead,baseline,102629.14,102629.14,102629.14
16,Cpu,goexec,1129723.97,1129723.97,1129723.97
16,Cpu,go,1081040.37,1081040.37,1081040.37
16,Cpu,baseline,1121798.92,1121798.92,1121798.92
16,SyscallWait,goexec,25924.99,25924.99,25924.99
16,SyscallWait,go,20253.01,20253.01,20253.01
16,SyscallWait,baseline,27038.99,27038.99,27038.99
16,Mixed,goexec,78344.9,78344.9,78344.9
16,Mixed,go,64240.08,64240.08,64240.08
16,Mixed,baseline,84175.38,84175.38,84175.38
