label,parallelism,lanes,repeat,engine,workload,phase,operations,elapsed_us,ops_per_sec,p50_ns,p99_ns,peak_workers,handoffs
goexec,1,4,1,Goexec,Yield,steady,32000000,1132781,28249049.93,,,2,0
baseline,1,4,1,Goexec,Yield,steady,32000000,1327082,24113051.04,,,2,0
goexec,1,4,1,Goexec,Empty,steady,32000000,1368200,23388389.24,,,2,0
baseline,1,4,1,Goexec,Empty,steady,32000000,1517657,21085132.62,,,2,0
baseline,4,16,1,Goexec,Yield,steady,32000000,502567,63673060.10,,,5,0
goexec,4,16,1,Goexec,Yield,steady,32000000,355174,90096505.41,,,5,0
goexec,4,16,1,Goexec,Empty,steady,32000000,442124,72377878.06,,,5,0
baseline,4,16,1,Goexec,Empty,steady,32000000,558961,57248997.81,,,5,0
goexec,16,64,1,Goexec,Yield,steady,32000000,430934,74257145.61,,,17,0
baseline,16,64,1,Goexec,Yield,steady,32000000,282793,113156940.26,,,17,0
goexec,16,64,1,Goexec,Empty,steady,32000000,369231,86666407.12,,,17,0
baseline,16,64,1,Goexec,Empty,steady,32000000,498359,64210734.24,,,17,0
goexec,1,4,2,Goexec,Yield,steady,32000000,1145051,27946332.13,,,2,0
baseline,1,4,2,Goexec,Yield,steady,32000000,1252337,25552225.00,,,2,0
goexec,1,4,2,Goexec,Empty,steady,32000000,1370404,23350775.48,,,2,0
baseline,1,4,2,Goexec,Empty,steady,32000000,1497326,21371427.30,,,2,0
goexec,4,16,2,Goexec,Yield,steady,32000000,355695,89964579.88,,,5,0
baseline,4,16,2,Goexec,Yield,steady,32000000,467501,68448972.09,,,5,0
baseline,4,16,2,Goexec,Empty,steady,32000000,549989,58182981.84,,,5,0
goexec,4,16,2,Goexec,Empty,steady,32000000,386721,82746921.84,,,5,0
baseline,16,64,2,Goexec,Yield,steady,32000000,482686,66295669.88,,,17,0
goexec,16,64,2,Goexec,Yield,steady,32000000,361592,88497471.95,,,17,0
goexec,16,64,2,Goexec,Empty,steady,32000000,342121,93534044.96,,,17,0
baseline,16,64,2,Goexec,Empty,steady,32000000,541809,59061317.22,,,17,0
baseline,1,4,3,Goexec,Yield,steady,32000000,1294806,24714122.29,,,2,0
goexec,1,4,3,Goexec,Yield,steady,32000000,1142585,28006653.77,,,2,0
baseline,1,4,3,Goexec,Empty,steady,32000000,1523686,21001698.43,,,2,0
goexec,1,4,3,Goexec,Empty,steady,32000000,1357106,23579575.44,,,2,0
goexec,4,16,3,Goexec,Yield,steady,32000000,372526,85899958.09,,,5,0
baseline,4,16,3,Goexec,Yield,steady,32000000,460746,69452508.05,,,5,0
baseline,4,16,3,Goexec,Empty,steady,32000000,523103,61173401.38,,,5,0
goexec,4,16,3,Goexec,Empty,steady,32000000,524826,60972564.73,,,5,0
goexec,16,64,3,Goexec,Yield,steady,32000000,370725,86317283.38,,,17,0
baseline,16,64,3,Goexec,Yield,steady,32000000,310643,103011835.25,,,17,0
baseline,16,64,3,Goexec,Empty,steady,32000000,394139,81189467.92,,,17,0
goexec,16,64,3,Goexec,Empty,steady,32000000,288618,110873067.79,,,17,0
baseline,1,4,4,Goexec,Yield,steady,32000000,1262823,25340051.61,,,2,0
goexec,1,4,4,Goexec,Yield,steady,32000000,1181473,27084833.93,,,2,0
goexec,1,4,4,Goexec,Empty,steady,32000000,1349962,23704362.16,,,2,0
baseline,1,4,4,Goexec,Empty,steady,32000000,1525493,20976816.60,,,2,0
goexec,4,16,4,Goexec,Yield,steady,32000000,445852,71772568.54,,,5,0
baseline,4,16,4,Goexec,Yield,steady,32000000,506247,63210147.11,,,5,0
baseline,4,16,4,Goexec,Empty,steady,32000000,601687,53183754.03,,,5,0
goexec,4,16,4,Goexec,Empty,steady,32000000,545561,58655196.76,,,5,0
goexec,16,64,4,Goexec,Yield,steady,32000000,287185,111426222.53,,,17,0
baseline,16,64,4,Goexec,Yield,steady,32000000,338971,94403275.00,,,17,0
goexec,16,64,4,Goexec,Empty,steady,32000000,308122,103854769.70,,,17,0
baseline,16,64,4,Goexec,Empty,steady,32000000,529477,60436987.68,,,17,0
goexec,1,4,5,Goexec,Yield,steady,32000000,1158678,27617659.67,,,2,0
baseline,1,4,5,Goexec,Yield,steady,32000000,1331839,24026914.65,,,2,0
baseline,1,4,5,Goexec,Empty,steady,32000000,1528403,20936873.85,,,2,0
goexec,1,4,5,Goexec,Empty,steady,32000000,1379245,23201097.74,,,2,0
goexec,4,16,5,Goexec,Yield,steady,32000000,363438,88047919.24,,,5,0
baseline,4,16,5,Goexec,Yield,steady,32000000,526428,60786939.17,,,5,0
goexec,4,16,5,Goexec,Empty,steady,32000000,630460,50756543.49,,,5,0
baseline,4,16,5,Goexec,Empty,steady,32000000,533971,59928264.00,,,5,0
goexec,16,64,5,Goexec,Yield,steady,32000000,292563,109377995.13,,,17,0
baseline,16,64,5,Goexec,Yield,steady,32000000,450352,71055378.75,,,17,0
baseline,16,64,5,Goexec,Empty,steady,32000000,515250,62105683.49,,,17,1
goexec,16,64,5,Goexec,Empty,steady,32000000,373329,85715146.77,,,17,0
baseline,1,4,6,Goexec,Yield,steady,32000000,1251347,25572441.44,,,2,0
goexec,1,4,6,Goexec,Yield,steady,32000000,1137251,28138018.30,,,2,0
baseline,1,4,6,Goexec,Empty,steady,32000000,1516604,21099763.65,,,2,0
goexec,1,4,6,Goexec,Empty,steady,32000000,1365455,23435408.07,,,2,0
goexec,4,16,6,Goexec,Yield,steady,32000000,390718,81900326.52,,,5,0
