parallelism,workload,label,median_ops_per_sec,min_ops_per_sec,max_ops_per_sec
1,Yield,goexec,27946332.13,27084833.93,28249049.93
1,Yield,baseline,24714122.29,23830453.76,25572441.44
1,Empty,goexec,23435408.07,23201097.74,23704362.16
1,Empty,baseline,21001698.43,20805406.54,21371427.3
4,Yield,goexec,87068976.05,71772568.54,90096505.41
4,Yield,baseline,64508769.83,60786939.17,69452508.05
4,Empty,goexec,68610573.3,50756543.49,82746921.84
4,Empty,baseline,58182981.84,53183754.03,62880151.66
16,Yield,goexec,88497471.95,74257145.61,111426222.53
16,Yield,baseline,88768004.13,66295669.88,113156940.26
16,Empty,goexec,93534044.96,85715146.77,119135153.25
16,Empty,baseline,62105683.49,59061317.22,86671140.76
