label,parallelism,lanes,repeat,engine,workload,phase,operations,elapsed_us,ops_per_sec,p50_ns,p99_ns,peak_workers,handoffs
goexec,1,4,1,Goexec,Yield,steady,1000000,38200,26177811.05,,,2,0
baseline,1,4,1,Goexec,Yield,steady,1000000,39888,25069593.82,,,2,0
go,1,4,1,Go,Yield,steady,1000000,43667,22900129.67,,,,
baseline,1,4,1,Goexec,Empty,steady,1000000,47416,21089927.45,,,2,0
go,1,4,1,Go,Empty,steady,1000000,43740,22862020.44,,,,
goexec,1,4,1,Goexec,Empty,steady,1000000,42218,23686532.06,,,2,0
goexec,1,4,1,Goexec,CachedRead,steady,100000,1005660,99437.10,,,2,0
go,1,4,1,Go,CachedRead,steady,100000,1110635,90038.55,,,,
baseline,1,4,1,Goexec,CachedRead,steady,100000,990453,100963.90,,,2,0
goexec,1,4,1,Goexec,Cpu,steady,100000,1061817,94178.11,,,2,0
baseline,1,4,1,Goexec,Cpu,steady,100000,1067765,93653.52,,,2,0
go,1,4,1,Go,Cpu,steady,100000,1059789,94358.33,,,,
goexec,1,4,1,Goexec,SyscallWait,steady,4096,1425766,2872.84,,,3,4086
baseline,1,4,1,Goexec,SyscallWait,steady,4096,1426843,2870.67,,,3,4085
go,1,4,1,Go,SyscallWait,steady,4096,895288,4575.06,,,,
go,1,4,1,Go,Mixed,steady,8192,481202,17024.02,,,,
goexec,1,4,1,Goexec,Mixed,steady,8192,668853,12247.82,,,4,1982
baseline,1,4,1,Goexec,Mixed,steady,8192,726998,11268.25,,,3,2042
go,4,16,1,Go,Yield,steady,1000000,117516,8509479.56,,,,
goexec,4,16,1,Goexec,Yield,steady,1000000,12289,81368342.12,,,5,0
baseline,4,16,1,Goexec,Yield,steady,1000000,24251,41234703.94,,,5,0
baseline,4,16,1,Goexec,Empty,steady,1000000,19462,51380311.52,,,5,0
goexec,4,16,1,Goexec,Empty,steady,1000000,12467,80211218.60,,,5,0
go,4,16,1,Go,Empty,steady,1000000,117115,8538567.26,,,,
baseline,4,16,1,Goexec,CachedRead,steady,100000,490343,203938.86,,,5,0
go,4,16,1,Go,CachedRead,steady,100000,513540,194726.75,,,,
goexec,4,16,1,Goexec,CachedRead,steady,100000,511146,195638.76,,,5,0
go,4,16,1,Go,Cpu,steady,100000,285300,350507.16,,,,
goexec,4,16,1,Goexec,Cpu,steady,100000,285318,350485.41,,,5,0
baseline,4,16,1,Goexec,Cpu,steady,100000,277623,360200.70,,,5,0
baseline,4,16,1,Goexec,SyscallWait,steady,4096,492705,8313.28,,,8,2744
goexec,4,16,1,Goexec,SyscallWait,steady,4096,499080,8207.10,,,8,2707
go,4,16,1,Go,SyscallWait,steady,4096,952568,4299.95,,,,
go,4,16,1,Go,Mixed,steady,8192,424052,19318.37,,,,
goexec,4,16,1,Goexec,Mixed,steady,8192,246766,33197.33,,,9,1423
baseline,4,16,1,Goexec,Mixed,steady,8192,246992,33167.05,,,9,1421
goexec,16,64,1,Goexec,Yield,steady,1000000,10873,91970581.92,,,17,0
go,16,64,1,Go,Yield,steady,1000000,257576,3882341.12,,,,
baseline,16,64,1,Goexec,Yield,steady,1000000,10834,92302012.18,,,17,0
baseline,16,64,1,Goexec,Empty,steady,1000000,12193,82012871.43,,,17,0
goexec,16,64,1,Goexec,Empty,steady,1000000,14102,70908156.21,,,17,0
go,16,64,1,Go,Empty,steady,1000000,254568,3928209.37,,,,
goexec,16,64,1,Goexec,CachedRead,steady,100032,996666,100366.53,,,20,1099
baseline,16,64,1,Goexec,CachedRead,steady,100032,986442,101406.78,,,20,1107
go,16,64,1,Go,CachedRead,steady,100032,1038257,96346.05,,,,
baseline,16,64,1,Goexec,Cpu,steady,100032,85504,1169897.06,,,17,0
goexec,16,64,1,Goexec,Cpu,steady,100032,87647,1141295.16,,,17,0
go,16,64,1,Go,Cpu,steady,100032,91787,1089827.04,,,,
goexec,16,64,1,Goexec,SyscallWait,steady,4096,173863,23558.77,,,21,942
go,16,64,1,Go,SyscallWait,steady,4096,226931,18049.46,,,,
baseline,16,64,1,Goexec,SyscallWait,steady,4096,177424,23085.94,,,21,877
goexec,16,64,1,Goexec,Mixed,steady,8192,93237,87861.92,,,21,485
baseline,16,64,1,Goexec,Mixed,steady,8192,90165,90855.65,,,21,508
go,16,64,1,Go,Mixed,steady,8192,80958,101187.91,,,,
go,1,4,2,Go,Yield,steady,1000000,44820,22311364.05,,,,
baseline,1,4,2,Goexec,Yield,steady,1000000,41086,24339042.87,,,2,0
goexec,1,4,2,Goexec,Yield,steady,1000000,35692,28017057.46,,,2,0
baseline,1,4,2,Goexec,Empty,steady,1000000,46314,21591665.46,,,2,0
go,1,4,2,Go,Empty,steady,1000000,46211,21639849.63,,,,
goexec,1,4,2,Goexec,Empty,steady,1000000,42511,23523092.63,,,2,0
go,1,4,2,Go,CachedRead,steady,100000,1164470,85875.91,,,,
goexec,1,4,2,Goexec,CachedRead,steady,100000,1030849,97007.36,,,2,0
baseline,1,4,2,Goexec,CachedRead,steady,100000,1045367,95660.17,,,2,0
goexec,1,4,2,Goexec,Cpu,steady,100000,1130585,88449.72,,,2,0
go,1,4,2,Go,Cpu,steady,100000,1091053,91654.55,,,,
baseline,1,4,2,Goexec,Cpu,steady,100000,1122391,89095.47,,,2,0
baseline,1,4,2,Goexec,SyscallWait,steady,4096,1197204,3421.30,,,3,4096
goexec,1,4,2,Goexec,SyscallWait,steady,4096,1196005,3424.73,,,3,4096
go,1,4,2,Go,SyscallWait,steady,4096,737760,5551.94,,,,
goexec,1,4,2,Goexec,Mixed,steady,8192,765600,10700.10,,,4,1569
go,1,4,2,Go,Mixed,steady,8192,399951,20482.49,,,,
baseline,1,4,2,Goexec,Mixed,steady,8192,777796,10532.32,,,4,1541
go,4,16,2,Go,Yield,steady,1000000,121011,8263700.16,,,,
goexec,4,16,2,Goexec,Yield,steady,1000000,14000,71427724.50,,,5,0
baseline,4,16,2,Goexec,Yield,steady,1000000,20468,48855358.05,,,5,0
go,4,16,2,Go,Empty,steady,1000000,117650,8499775.51,,,,
baseline,4,16,2,Goexec,Empty,steady,1000000,22988,43500090.35,,,5,0
goexec,4,16,2,Goexec,Empty,steady,1000000,12291,81357584.73,,,5,0
go,4,16,2,Go,CachedRead,steady,100000,549634,181939.25,,,,
baseline,4,16,2,Goexec,CachedRead,steady,100000,549717,181911.74,,,5,0
goexec,4,16,2,Goexec,CachedRead,steady,100000,551399,181356.62,,,5,0
goexec,4,16,2,Goexec,Cpu,steady,100000,285419,350361.69,,,5,0
go,4,16,2,Go,Cpu,steady,100000,282097,354487.94,,,,
baseline,4,16,2,Goexec,Cpu,steady,100000,283110,353219.49,,,5,0
go,4,16,2,Go,SyscallWait,steady,4096,165450,24756.64,,,,
baseline,4,16,2,Goexec,SyscallWait,steady,4096,429747,9531.17,,,9,2807
goexec,4,16,2,Goexec,SyscallWait,steady,4096,427336,9584.96,,,8,2758
goexec,4,16,2,Goexec,Mixed,steady,8192,208965,39202.65,,,10,1493
baseline,4,16,2,Goexec,Mixed,steady,8192,205455,39872.43,,,9,1495
go,4,16,2,Go,Mixed,steady,8192,295046,27765.11,,,,
baseline,16,64,2,Goexec,Yield,steady,1000000,14828,67439032.42,,,17,0
go,16,64,2,Go,Yield,steady,1000000,251806,3971309.92,,,,
goexec,16,64,2,Goexec,Yield,steady,1000000,11414,87606907.80,,,17,0
goexec,16,64,2,Goexec,Empty,steady,1000000,12878,77651556.04,,,17,0
