parallelism,workload,label,median_ops_per_sec,min_ops_per_sec,max_ops_per_sec
1,Yield,goexec,25717793.92,25344072.39,28017057.46
1,Yield,go,22036422.37,21900607.9,22900129.67
1,Yield,baseline,24339042.87,23249731.17,25069593.82
1,Empty,goexec,23523092.63,22312774.9,24059137.36
1,Empty,go,22291926.1,21639849.63,22862020.44
1,Empty,baseline,21591665.46,20865827.51,22183093.71
1,CachedRead,goexec,99437.1,97007.36,99999.86
1,CachedRead,go,91177.18,85875.91,91747.12
1,CachedRead,baseline,100130.32,95660.17,100963.9
1,Cpu,goexec,87122.77,86804.02,94178.11
1,Cpu,go,91654.55,90966.65,94358.33
1,Cpu,baseline,87193.71,86920.12,93653.52
1,SyscallWait,goexec,3422.26,2872.84,3424.73
1,SyscallWait,go,5501.96,4575.06,5551.94
1,SyscallWait,baseline,3417.16,2870.67,3421.3
1,Mixed,goexec,12247.82,10533.85,13442.4
1,Mixed,go,20521.84,17024.02,22579.23
1,Mixed,baseline,11268.25,10532.32,13452.23
4,Yield,goexec,81368342.12,71427724.5,88534091.47
4,Yield,go,8486610.93,8263700.16,8626635.94
4,Yield,baseline,74617354.74,41234703.94,80089963.45
4,Empty,goexec,80211218.6,73716635.76,81357584.73
4,Empty,go,8538567.26,8456403.39,8648567.64
4,Empty,baseline,57609354.65,43500090.35,66694269.2
4,CachedRead,goexec,179335.74,164298.62,195638.76
4,CachedRead,go,183648.56,176400.68,194726.75
4,CachedRead,baseline,181911.74,173627.65,203938.86
4,Cpu,goexec,349507.62,343076.47,350485.41
4,Cpu,go,352486.83,350507.16,354487.94
4,Cpu,baseline,349583.78,342993.61,360200.7
4,SyscallWait,goexec,9584.96,8207.1,10084.27
4,SyscallWait,go,5467.35,4299.95,24756.64
4,SyscallWait,baseline,9535.41,8313.28,9853.37
4,Mixed,goexec,39086.25,33197.33,39234.98
4,Mixed,go,24432.16,19318.37,27765.11
4,Mixed,baseline,37586.54,33167.05,39872.43
16,Yield,goexec,91574739.36,83203037.38,96381668.32
16,Yield,go,3932847.29,3866313.2,3971309.92
16,Yield,baseline,81875773.98,58750523.25,92302012.18
16,Empty,goexec,82766041.09,70908156.21,104367334.61
16,Empty,go,3932322.11,3917066.57,4047727.43
16,Empty,baseline,80928522.07,58079598.09,89271096.14
16,CachedRead,goexec,100495.35,100366.53,101018.94
16,CachedRead,go,96217.89,94992.08,96497.8
16,CachedRead,baseline,101127.42,100955.91,101406.78
16,Cpu,goexec,1156422.6,1011134.51,1195720.69
16,Cpu,go,1089827.04,1071546.11,1100764.28
16,Cpu,baseline,1169897.06,1091160.97,1181131.56
16,SyscallWait,goexec,26295.33,23558.77,27436.01
16,SyscallWait,go,22080.75,18049.46,22239.84
16,SyscallWait,baseline,26783.18,23085.94,27449.6
16,Mixed,goexec,102549.55,87861.92,104044.22
16,Mixed,go,115496.18,101187.91,123109.52
16,Mixed,baseline,99459.27,90855.65,102097.11
