label,parallelism,lanes,repeat,engine,workload,phase,operations,elapsed_us,ops_per_sec,p50_ns,p99_ns,peak_workers,handoffs
goexec,1,4,1,Goexec,Mixed,steady,32768,2427514,13498.58,,,4,7689
baseline,1,4,1,Goexec,Mixed,steady,32768,2211390,14817.83,,,4,8067
goexec,4,16,1,Goexec,Mixed,steady,32768,822923,39819.02,,,9,6016
baseline,4,16,1,Goexec,Mixed,steady,32768,825279,39705.36,,,9,6014
baseline,16,64,1,Goexec,Mixed,steady,32768,321538,101910.19,,,21,2081
goexec,16,64,1,Goexec,Mixed,steady,32768,327923,99925.78,,,22,2093
goexec,1,4,2,Goexec,Mixed,steady,32768,2602881,12589.13,,,4,7539
baseline,1,4,2,Goexec,Mixed,steady,32768,2702377,12125.62,,,4,7399
goexec,4,16,2,Goexec,Mixed,steady,32768,820648,39929.38,,,9,6045
baseline,4,16,2,Goexec,Mixed,steady,32768,817527,40081.83,,,9,6016
goexec,16,64,2,Goexec,Mixed,steady,32768,324421,101004.40,,,21,2029
baseline,16,64,2,Goexec,Mixed,steady,32768,314127,104314.37,,,21,2088
goexec,1,4,3,Goexec,Mixed,steady,32768,2515370,13027.11,,,4,7595
baseline,1,4,3,Goexec,Mixed,steady,32768,2602419,12591.36,,,4,7711
goexec,4,16,3,Goexec,Mixed,steady,32768,820431,39939.96,,,9,6038
baseline,4,16,3,Goexec,Mixed,steady,32768,860894,38062.72,,,9,5686
goexec,16,64,3,Goexec,Mixed,steady,32768,320061,102380.31,,,21,2047
baseline,16,64,3,Goexec,Mixed,steady,32768,306281,106986.59,,,21,2128
baseline,1,4,4,Goexec,Mixed,steady,32768,2249490,14566.85,,,4,8051
goexec,1,4,4,Goexec,Mixed,steady,32768,2629112,12463.52,,,4,7402
baseline,4,16,4,Goexec,Mixed,steady,32768,822842,39822.91,,,10,6028
goexec,4,16,4,Goexec,Mixed,steady,32768,812634,40323.19,,,9,6021
goexec,16,64,4,Goexec,Mixed,steady,32768,316469,103542.34,,,21,2011
baseline,16,64,4,Goexec,Mixed,steady,32768,324413,101006.79,,,21,1972
baseline,1,4,5,Goexec,Mixed,steady,32768,2799885,11703.33,,,4,7024
goexec,1,4,5,Goexec,Mixed,steady,32768,2511199,13048.75,,,4,7673
baseline,4,16,5,Goexec,Mixed,steady,32768,837354,39132.77,,,10,5940
goexec,4,16,5,Goexec,Mixed,steady,32768,807972,40555.86,,,9,5975
goexec,16,64,5,Goexec,Mixed,steady,32768,332206,98637.59,,,21,1989
baseline,16,64,5,Goexec,Mixed,steady,32768,310021,105695.74,,,21,2096
