repeat,parallelism,variant,engine,workload,phase,operations,elapsed_us,ops_per_sec,p50_ns,p99_ns,peak_workers,handoffs
0,4,baseline,Goexec,Yield,steady,32000000,520234,61510668.30,,,5,0
0,4,candidate,Goexec,Yield,steady,32000000,522729,61217120.75,,,5,0
0,4,cache-only,Goexec,Yield,steady,32000000,617921,51786544.76,,,5,0
0,4,cache-only,Goexec,Empty,steady,32000000,566514,56485743.86,,,5,0
0,4,candidate,Goexec,Empty,steady,32000000,618120,51769847.95,,,5,0
0,4,baseline,Goexec,Empty,steady,32000000,553591,57804325.25,,,5,0
0,16,cache-only,Goexec,Yield,steady,32000000,411153,77829860.28,,,17,0
0,16,candidate,Goexec,Yield,steady,32000000,359604,88986691.94,,,17,0
0,16,baseline,Goexec,Yield,steady,32000000,1334895,23971911.66,,,17,0
0,16,cache-only,Goexec,Empty,steady,32000000,471233,67906844.99,,,17,0
0,16,candidate,Goexec,Empty,steady,32000000,450559,71022832.41,,,17,0
0,16,baseline,Goexec,Empty,steady,32000000,1338013,23916047.20,,,17,0
1,4,baseline,Goexec,Yield,steady,32000000,483442,66191980.53,,,5,0
1,4,candidate,Goexec,Yield,steady,32000000,485799,65870841.64,,,5,0
1,4,cache-only,Goexec,Yield,steady,32000000,553525,57811252.47,,,5,0
1,4,cache-only,Goexec,Empty,steady,32000000,608827,52560054.48,,,5,0
1,4,baseline,Goexec,Empty,steady,32000000,491422,65117055.87,,,5,0
1,4,candidate,Goexec,Empty,steady,32000000,630654,50740973.45,,,5,0
1,16,baseline,Goexec,Yield,steady,32000000,1358867,23549025.85,,,17,0
1,16,cache-only,Goexec,Yield,steady,32000000,436184,73363534.66,,,17,0
1,16,candidate,Goexec,Yield,steady,32000000,537582,59525714.88,,,17,0
1,16,candidate,Goexec,Empty,steady,32000000,454921,70341761.23,,,17,0
1,16,cache-only,Goexec,Empty,steady,32000000,444465,71996656.55,,,17,0
1,16,baseline,Goexec,Empty,steady,32000000,1377258,23234561.34,,,17,0
2,4,cache-only,Goexec,Yield,steady,32000000,561483,56991921.87,,,5,0
2,4,baseline,Goexec,Yield,steady,32000000,476664,67133213.41,,,5,0
2,4,candidate,Goexec,Yield,steady,32000000,550336,58146243.25,,,5,0
2,4,baseline,Goexec,Empty,steady,32000000,536445,59651912.45,,,5,0
2,4,candidate,Goexec,Empty,steady,32000000,561886,56950973.85,,,5,0
2,4,cache-only,Goexec,Empty,steady,32000000,604057,52975122.18,,,5,0
2,16,cache-only,Goexec,Yield,steady,32000000,532849,60054475.94,,,17,0
2,16,baseline,Goexec,Yield,steady,32000000,1345710,23779261.57,,,17,0
2,16,candidate,Goexec,Yield,steady,32000000,482954,66258846.91,,,17,0
2,16,candidate,Goexec,Empty,steady,32000000,458143,69847155.59,,,17,0
2,16,cache-only,Goexec,Empty,steady,32000000,415741,76970913.98,,,17,0
2,16,baseline,Goexec,Empty,steady,32000000,1416438,22591873.24,,,17,0
3,4,cache-only,Goexec,Yield,steady,32000000,690581,46337763.10,,,5,0
3,4,baseline,Goexec,Yield,steady,32000000,558079,57339509.54,,,5,0
3,4,candidate,Goexec,Yield,steady,32000000,616556,51901188.46,,,5,0
3,4,baseline,Goexec,Empty,steady,32000000,493105,64894867.78,,,5,0
3,4,cache-only,Goexec,Empty,steady,32000000,563785,56759196.29,,,5,0
3,4,candidate,Goexec,Empty,steady,32000000,683230,46836302.33,,,5,0
3,16,cache-only,Goexec,Yield,steady,32000000,497748,64289517.17,,,17,0
3,16,candidate,Goexec,Yield,steady,32000000,461998,69264369.11,,,17,0
3,16,baseline,Goexec,Yield,steady,32000000,1317448,24289366.81,,,17,0
3,16,baseline,Goexec,Empty,steady,32000000,1527443,20950042.42,,,17,0
3,16,candidate,Goexec,Empty,steady,32000000,398632,80274497.04,,,17,0
3,16,cache-only,Goexec,Empty,steady,32000000,565392,56597900.22,,,17,0
4,4,candidate,Goexec,Yield,steady,32000000,586791,54533893.17,,,5,0
4,4,baseline,Goexec,Yield,steady,32000000,444518,71988085.97,,,5,0
