parallelism,workload,label,median_ops_per_sec,min_ops_per_sec,max_ops_per_sec
1,Yield,goexec,24164973.89,17592702.55,25704490.03
1,Yield,go,22015520.94,14977421.46,22254573.94
1,Yield,baseline,23921728.11,23069381.16,24579184.09
1,Empty,goexec,20864430.9,20574632.62,21176364.86
1,Empty,go,22147331.27,21610854.98,22590872.12
1,Empty,baseline,21096564.4,20842252.95,21793673.84
1,CachedRead,goexec,100565.93,98152.85,101064.25
1,CachedRead,go,91904.51,86987.93,92344.66
1,CachedRead,baseline,99664.64,95701.17,101262.11
1,Cpu,goexec,93977.18,92846.88,94277.63
1,Cpu,go,93224.47,92132.14,97621.93
1,Cpu,baseline,93582.13,91381.73,94580.1
1,SyscallWait,goexec,2872.93,2872.28,3075.87
1,SyscallWait,go,4577.25,4474.68,4644.91
1,SyscallWait,baseline,2874.67,2805.14,2875.88
1,Mixed,goexec,12458.53,11243.4,12807.04
1,Mixed,go,17390.54,16876.14,18502.01
1,Mixed,baseline,11869.92,11390.22,12838.48
4,Yield,goexec,65862594.16,52440103.57,75119960.94
4,Yield,go,8516164.75,8306308.96,9249346.19
4,Yield,baseline,64195326.35,62500976.58,68137876.99
4,Empty,goexec,55823302.72,38547218.55,56772351.05
4,Empty,go,8650023.3,8443239.12,8926897.64
4,Empty,baseline,63661321.77,60390120.18,65601555.44
4,CachedRead,goexec,178778.22,160851.82,213947.6
4,CachedRead,go,183987.8,154670.64,187770.08
4,CachedRead,baseline,200720.07,169801.44,208207.76
4,Cpu,goexec,353883.39,350857.14,358806.02
4,Cpu,go,353285.01,350929.01,354600.5
4,Cpu,baseline,358140.32,352025.08,362722.09
4,SyscallWait,goexec,8173.18,8130.75,8471.77
4,SyscallWait,go,4537.91,4303.43,22725.93
4,SyscallWait,baseline,8219.2,7915.05,8572.87
4,Mixed,goexec,33262.67,31946.8,33783.95
4,Mixed,go,19652.77,19373.15,20246.16
4,Mixed,baseline,32970.94,31995.15,33953.53
16,Yield,goexec,61889165.54,57803748.87,66300172.57
16,Yield,go,3996276.14,3951000.36,4053999.96
16,Yield,baseline,22670896.39,20310204.25,23020324.07
16,Empty,goexec,61790693.05,49785196.79,75752072.25
16,Empty,go,4026946.99,3975950.81,4052681.49
16,Empty,baseline,22864524.83,22494067.02,25583572.15
16,CachedRead,goexec,101282.45,100741.56,101749.0
16,CachedRead,go,95819.08,95259.52,96694.01
16,CachedRead,baseline,101053.28,100767.12,101175.46
16,Cpu,goexec,1153801.02,976071.13,1186472.6
16,Cpu,go,1099281.93,1070894.63,1105544.33
16,Cpu,baseline,1151048.34,1123086.46,1170450.31
16,SyscallWait,goexec,24053.48,22713.33,24401.55
16,SyscallWait,go,17983.26,17501.19,72215.66
16,SyscallWait,baseline,22931.18,22667.59,23612.75
16,Mixed,goexec,89136.29,87019.14,92785.71
16,Mixed,go,97883.88,95258.08,100412.2
16,Mixed,baseline,89363.41,86249.09,91459.02
