label,parallelism,lanes,repeat,engine,workload,phase,operations,elapsed_us,ops_per_sec,p50_ns,p99_ns,peak_workers,handoffs
goexec,1,4,1,Goexec,Yield,steady,1000000,56841,17592702.55,,,2,0
baseline,1,4,1,Goexec,Yield,steady,1000000,43347,23069381.16,,,2,0
go,1,4,1,Go,Yield,steady,1000000,66767,14977421.46,,,,
baseline,1,4,1,Goexec,Empty,steady,1000000,45884,21793673.84,,,2,0
go,1,4,1,Go,Empty,steady,1000000,46273,21610854.98,,,,
goexec,1,4,1,Goexec,Empty,steady,1000000,47928,20864430.90,,,2,0
goexec,1,4,1,Goexec,CachedRead,steady,100000,994162,100587.18,,,2,0
go,1,4,1,Go,CachedRead,steady,100000,1082899,92344.66,,,,
baseline,1,4,1,Goexec,CachedRead,steady,100000,1003364,99664.64,,,2,0
goexec,1,4,1,Goexec,Cpu,steady,100000,1062519,94115.92,,,2,0
baseline,1,4,1,Goexec,Cpu,steady,100000,1061317,94222.49,,,2,0
go,1,4,1,Go,Cpu,steady,100000,1024360,97621.93,,,,
goexec,1,4,1,Goexec,SyscallWait,steady,4096,1425872,2872.63,,,3,4091
baseline,1,4,1,Goexec,SyscallWait,steady,4096,1424688,2875.01,,,3,4084
go,1,4,1,Go,SyscallWait,steady,4096,894860,4577.25,,,,
go,1,4,1,Go,Mixed,steady,8192,481729,17005.40,,,,
goexec,1,4,1,Goexec,Mixed,steady,8192,658147,12447.05,,,4,2006
baseline,1,4,1,Goexec,Mixed,steady,8192,719213,11390.22,,,3,2040
go,4,16,1,Go,Yield,steady,1000000,117605,8503009.76,,,,
goexec,4,16,1,Goexec,Yield,steady,1000000,13312,75119960.94,,,5,0
baseline,4,16,1,Goexec,Yield,steady,1000000,14676,68137876.99,,,5,0
baseline,4,16,1,Goexec,Empty,steady,1000000,15243,65601555.44,,,5,0
goexec,4,16,1,Goexec,Empty,steady,1000000,17913,55823302.72,,,5,0
go,4,16,1,Go,Empty,steady,1000000,112021,8926897.64,,,,
baseline,4,16,1,Goexec,CachedRead,steady,100000,588923,169801.44,,,5,0
go,4,16,1,Go,CachedRead,steady,100000,532566,187770.08,,,,
goexec,4,16,1,Goexec,CachedRead,steady,100000,531201,188252.47,,,5,0
go,4,16,1,Go,Cpu,steady,100000,283057,353285.01,,,,
goexec,4,16,1,Goexec,Cpu,steady,100000,279453,357841.55,,,5,0
baseline,4,16,1,Goexec,Cpu,steady,100000,284070,352025.08,,,5,0
