variant,backend,workload,parallelism,lanes,repeats,repeat_ids,variant_ops_per_second_median,variant_ops_per_second_min,variant_ops_per_second_max,tokio_ops_per_second_median,tokio_ops_per_second_min,tokio_ops_per_second_max,ops_per_second_ratio,variant_p50_ns_median,variant_p50_ns_min,variant_p50_ns_max,tokio_p50_ns_median,tokio_p50_ns_min,tokio_p50_ns_max,p50_ns_ratio,variant_p99_ns_median,variant_p99_ns_min,variant_p99_ns_max,tokio_p99_ns_median,tokio_p99_ns_min,tokio_p99_ns_max,p99_ns_ratio
goexec,memory,create,1,1,2,"1,3",45330.66744711061,45213.38659126241,45447.94830295881,56529.27871450057,56470.16447160527,56588.39295739588,0.8018971491932841,20007.0,19967.0,20047.0,15335.0,15335.0,15335.0,1.3046625366807956,29239.0,29055.0,29423.0,30031.0,29967.0,30095.0,0.9736272518397656
goexec,memory,create,1,4,1,2,55705.313813950284,55705.313813950284,55705.313813950284,55568.48832641108,55568.48832641108,55568.48832641108,1.002462285580552,69375.0,69375.0,69375.0,71167.0,71167.0,71167.0,0.9748197900712409,88127.0,88127.0,88127.0,131711.0,131711.0,131711.0,0.6690936975651236
goexec,memory,create,16,16,2,"0,3",170081.73749404092,169712.58783099585,170450.887157086,199076.48372214875,195938.52698960912,202214.4404546884,0.8543537353785301,74911.0,74559.0,75263.0,73983.0,72703.0,75263.0,1.012543422137518,275711.0,275199.0,276223.0,135295.0,133759.0,136831.0,2.03785062271333
goexec,memory,create,16,64,2,"1,4",213900.46291395646,211978.09847060527,215822.82735730766,213907.5520887812,211502.2051878484,216312.89898971404,0.9999668586978089,209663.0,209023.0,210303.0,250751.0,247807.0,253695.0,0.8361402347348564,1184767.0,1171455.0,1198079.0,926207.0,912895.0,939519.0,1.2791600581727411
goexec,memory,create,4,16,3,"1,2,4",88397.78969282674,88358.63788202591,89096.54130075593,88408.0444129326,87409.67100301184,90060.94231661319,0.9998840069342789,80959.0,79551.0,80959.0,114559.0,112831.0,118399.0,0.7067013503958659,760831.0,755711.0,761855.0,763391.0,751615.0,767999.0,0.9966465415494812
goexec,memory,create,4,4,3,"1,2,4",86882.93164661434,85022.99720355075,87025.40648762234,89679.43501955937,88074.14696481638,92455.56005946301,0.9688166704848764,42559.0,42303.0,43135.0,41183.0,40031.0,41855.0,1.0334118446931986,62271.0,62015.0,67391.0,61631.0,60319.0,62431.0,1.0103843844818354
goexec,memory,mixed,1,1,1,1,68939.45321411622,68939.45321411622,68939.45321411622,85408.7274025817,85408.7274025817,85408.7274025817,0.8071710621464235,13879.0,13879.0,13879.0,10751.0,10751.0,10751.0,1.2909496790996187,20015.0,20015.0,20015.0,25551.0,25551.0,25551.0,0.7833352902039059
goexec,memory,mixed,1,4,3,"1,2,3",84512.45349894065,84294.14220322491,84886.83145533255,83593.17440791591,83569.72421991007,84079.90933863689,1.0109970592400148,46527.0,46239.0,46591.0,47423.0,47263.0,47487.0,0.9811062142842081,62719.0,61727.0,63167.0,95807.0,95679.0,95935.0,0.6546390138507625
goexec,memory,mixed,16,16,2,"2,3",195603.76937501872,194745.78652457838,196461.75222545906,263785.7576060752,263333.6242839388,264237.8909282116,0.7415251344506774,59135.0,58847.0,59423.0,56255.0,56191.0,56319.0,1.0511954492933961,266367.0,265983.0,266751.0,117215.0,116927.0,117503.0,2.272465128183253
goexec,memory,mixed,16,64,1,2,318957.20692296413,318957.20692296413,318957.20692296413,312745.5730452825,312745.5730452825,312745.5730452825,1.019861620476982,156159.0,156159.0,156159.0,181375.0,181375.0,181375.0,0.860973121984838,732159.0,732159.0,732159.0,581119.0,581119.0,581119.0,1.259912341534178
