run_id,binary_sha256,variant,backend,access,workload,parallelism,lanes,records,seed,repeat,warmup_requested,seconds_requested,valid,exit_code,error,setup_seconds,warmup_ops,operations,seconds,ops_per_second,p50_ns,p99_ns,errors,handoffs,rocksdb_granted,rocksdb_diverted,peak_rss_bytes,peak_threads_sampled,cpu_user_seconds,cpu_system_seconds,wall_seconds
goexec-memory-sdk-create-p16-c16-r0-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,memory,sdk,create,16,16,100000,20260917,0,3,10,True,0,,2.121080708,509141,1697164,10.000224625,169712.58783099585,75263,276223,0,0,0,0,8613396480,55,160.722337,16.253811,15.886306417
tokio-memory-sdk-create-p16-c16-r0-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,memory,sdk,create,16,16,100000,20260917,0,3,10,True,0,,2.282385625,605379,2022179,10.000171083,202214.4404546884,72703,133759,0,0,0,0,10205593600,52,188.331291,8.802472,16.273749167
goexec-memory-sdk-update-p4-c16-r1-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,memory,sdk,update,4,16,100000,20260917,1,3,10,True,0,,2.3860417910000002,334455,1130758,10.000256083,113072.90439514238,67711,593919,0,0,0,0,4842356736,19,54.271963,1.225947,15.470342458000005
tokio-memory-sdk-update-p4-c16-r1-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,memory,sdk,update,4,16,100000,20260917,1,3,10,True,0,,2.35877975,349003,1160341,10.000139,116032.48714842863,96063,548351,0,0,0,0,4974919680,16,53.818625,1.070599,15.445633375
goexec-blocking-rocksdb-sdk-range-p4-c4-r2-n100000-w3-s10-seed20260917,e963d801d8310f2cb89458be25ab0c11ddbbeddc08501d21e1d74f2cc4e7ef50,goexec-blocking,rocksdb,sdk,range,4,4,100000,20260917,2,3,10,True,0,,1.368141042,81639,279633,10.000123417,27962.95488959964,133247,231039,0,0,2237089,0,268140544,54,52.739913,1.37264,14.437845750000001
goexec-rocksdb-sdk-range-p4-c4-r2-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,rocksdb,sdk,range,4,4,100000,20260917,2,3,10,True,0,,1.368917083,76769,256262,10.000155708,25625.800985778013,150143,238207,0,0,1779073,271048,266829824,54,51.055037,3.21659,14.449175291999993
tokio-rocksdb-sdk-range-p4-c4-r2-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,rocksdb,sdk,range,4,4,100000,20260917,2,3,10,True,0,,1.399589583,75626,262615,10.000152209,26261.100282418713,146687,230015,0,0,1808732,292213,267845632,51,50.739537,2.554178,14.483868541999996
goexec-memory-sdk-read-p4-c16-r0-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,memory,sdk,read,4,16,100000,20260917,0,3,10,True,0,,2.365261333,344808,1157821,10.000237166,115779.35410737038,66879,579071,0,0,0,0,447561728,19,53.881956,0.638231,15.406718166000005
tokio-memory-sdk-read-p4-c16-r0-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,memory,sdk,read,4,16,100000,20260917,0,3,10,True,0,,2.2878234170000002,342475,1139565,10.000146792,113954.82723430006,97919,552959,0,0,0,0,445087744,16,53.472778,0.46663899999999997,15.307465582999981
tokio-memory-sdk-read-p4-c4-r3-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,memory,sdk,read,4,4,100000,20260917,3,3,10,True,0,,2.27786675,341445,1139404,10.000061666,113939.69737946213,33151,52383,0,0,0,0,444170240,16,52.764498,0.788222,15.311433166
goexec-memory-sdk-read-p4-c4-r3-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,memory,sdk,read,4,4,100000,20260917,3,3,10,True,0,,2.239609916,326006,1092730,10.000069917,109272.23600130755,34751,52351,0,0,0,0,444235776,19,52.827434,1.604837,15.278956249999993
tokio-memory-sdk-range-p1-c4-r3-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,memory,sdk,range,1,4,100000,20260917,3,3,10,True,0,,2.470120875,51797,173924,10.000202375,17392.048028428024,225023,269055,0,0,0,0,444268544,10,15.120835,0.25254299999999996,15.490517915999988
goexec-memory-sdk-range-p1-c4-r3-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,memory,sdk,range,1,4,100000,20260917,3,3,10,True,0,,2.274703791,50984,169884,10.000244333,16987.98492746787,231807,268799,0,0,0,0,444071936,13,15.156001,0.43646599999999997,15.314283417000013
tokio-memory-sdk-read-p16-c16-r4-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,memory,sdk,read,16,16,100000,20260917,4,3,10,True,0,,2.35357625,777694,2592659,10.000184959,259261.10473253296,57183,118015,0,0,0,0,450756608,52,172.908626,9.537093,15.381590666999983
goexec-memory-sdk-read-p16-c16-r4-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,memory,sdk,read,16,16,100000,20260917,4,3,10,True,0,,2.2706210000000002,555344,1843657,10.000366042,184358.95168806062,61759,271103,0,0,0,0,449921024,55,127.677352,23.009224,15.297274999999985
goexec-blocking-rocksdb-sdk-read-p4-c4-r1-n100000-w3-s10-seed20260917,e963d801d8310f2cb89458be25ab0c11ddbbeddc08501d21e1d74f2cc4e7ef50,goexec-blocking,rocksdb,sdk,read,4,4,100000,20260917,1,3,10,True,0,,1.377499458,299045,999475,10.000088541,99946.61506267557,38175,55839,0,0,4997400,0,265338880,54,52.143355,1.501435,14.442252042000007
goexec-rocksdb-sdk-read-p4-c4-r1-n100000-w3-s10-seed20260917,7eed995be3eb2ed6eca0fb46f5bf4bab99ad8e508d72b025da681db2f7daebc0,goexec,rocksdb,sdk,read,4,4,100000,20260917,1,3,10,True,0,,1.370568958,290897,963490,10.000070625,96348.31953999326,38975,64959,0,0,4681049,136420,265256960,54,51.357144,2.418614,14.427963875000017
tokio-rocksdb-sdk-read-p4-c4-r1-n100000-w3-s10-seed20260917,1dda62a344f62068f971e26a499036cbea8a1e7b9a6f36e55d594ec5e894e476,tokio,rocksdb,sdk,read,4,4,100000,20260917,1,3,10,True,0,,1.412696166,295519,977618,10.000056,97761.25253698579,37887,67583,0,0,4750257,137855,265371648,51,50.991562,1.717397,14.487912625000035
