variant,backend,access,workload,parallelism,lanes,records,repeats,ops_per_second_median,ops_per_second_min,ops_per_second_max,p50_ns_median,p50_ns_min,p50_ns_max,p99_ns_median,p99_ns_min,p99_ns_max,peak_rss_bytes_median,peak_rss_bytes_min,peak_rss_bytes_max,peak_threads_sampled_median,peak_threads_sampled_min,peak_threads_sampled_max,handoffs_median,handoffs_min,handoffs_max,rocksdb_granted_median,rocksdb_granted_min,rocksdb_granted_max,rocksdb_diverted_median,rocksdb_diverted_min,rocksdb_diverted_max,throughput_vs_tokio
goexec,memory,sdk,create,1,1,100000,2,45330.66744711061,45213.38659126241,45447.94830295881,20007.0,19967.0,20047.0,29239.0,29055.0,29423.0,2601164800.0,2597044224.0,2605285376.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8018971491932841
goexec,memory,sdk,create,1,4,100000,1,55705.313813950284,55705.313813950284,55705.313813950284,69375.0,69375.0,69375.0,88127.0,88127.0,88127.0,3104915456.0,3104915456.0,3104915456.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.002462285580552
goexec,memory,sdk,create,16,16,100000,2,170081.73749404092,169712.58783099585,170450.887157086,74911.0,74559.0,75263.0,275711.0,275199.0,276223.0,8627298304.0,8613396480.0,8641200128.0,55.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8543537353785301
goexec,memory,sdk,create,16,64,100000,2,213900.46291395646,211978.09847060527,215822.82735730766,209663.0,209023.0,210303.0,1184767.0,1171455.0,1198079.0,10842382336.0,10775871488.0,10908893184.0,55.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999668586978089
goexec,memory,sdk,create,4,16,100000,3,88397.78969282674,88358.63788202591,89096.54130075593,80959.0,79551.0,80959.0,760831.0,755711.0,761855.0,4693835776.0,4688052224.0,4715855872.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998840069342789
goexec,memory,sdk,create,4,4,100000,3,86882.93164661434,85022.99720355075,87025.40648762234,42559.0,42303.0,43135.0,62271.0,62015.0,67391.0,4590059520.0,4471308288.0,4596875264.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9688166704848764
goexec,memory,sdk,mixed,1,1,100000,1,68939.45321411622,68939.45321411622,68939.45321411622,13879.0,13879.0,13879.0,20015.0,20015.0,20015.0,979664896.0,979664896.0,979664896.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8071710621464235
goexec,memory,sdk,mixed,1,4,100000,3,84512.45349894065,84294.14220322491,84886.83145533255,46527.0,46239.0,46591.0,62719.0,61727.0,63167.0,1100529664.0,1098317824.0,1103085568.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0109970592400148
goexec,memory,sdk,mixed,16,16,100000,2,195603.76937501872,194745.78652457838,196461.75222545906,59135.0,58847.0,59423.0,266367.0,265983.0,266751.0,1977188352.0,1969831936.0,1984544768.0,55.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7415251344506774
goexec,memory,sdk,mixed,16,64,100000,1,318957.20692296413,318957.20692296413,318957.20692296413,156159.0,156159.0,156159.0,732159.0,732159.0,732159.0,2963750912.0,2963750912.0,2963750912.0,55.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.019861620476982
